recipe,temp_C,family,cycle,cycle_value,pred_nm
B195,-10,zmin,4,4.0,60.54759216308594
B195,-10,zmin,5,5.0,393.9042663574219
B195,-10,zmin,6,6.0,683.039306640625
B195,-10,zmin,7,7.0,943.2888793945312
B195,-10,zmin,8,8.0,1199.455078125
B195,-10,zmin,9,9.0,2726.858154296875
B196,-10,zmin,1,1.0,345.0557861328125
B196,-10,zmin,2,2.0,906.712890625
B196,-10,zmin,3,3.0,1359.332275390625
B196,-10,zmin,4,4.0,1744.4755859375
B196,-10,zmin,5,5.0,2070.136474609375
B196,-10,zmin,6,6.0,2359.686767578125
B196,-10,zmin,7,7.0,2632.720703125
B196,-10,zmin,8,8.0,2902.837158203125
B196,-10,zmin,9,9.0,3594.11572265625
B197,-10,zmin,1,1.0,0.0
B197,-10,zmin,2,2.0,637.6651611328125
B197,-10,zmin,3,3.0,1309.0252685546875
B197,-10,zmin,4,4.0,1859.662109375
B197,-10,zmin,5,5.0,2303.2822265625
B197,-10,zmin,6,6.0,2679.79443359375
B197,-10,zmin,7,7.0,3063.90234375
B197,-10,zmin,8,8.0,3453.90283203125
B197,-10,zmin,9,9.0,3933.63623046875
B198,-10,zmin,1,1.0,0.0
B198,-10,zmin,2,2.0,0.0
B198,-10,zmin,3,3.0,0.0
B198,-10,zmin,4,4.0,329.8611145019531
B198,-10,zmin,5,5.0,718.9962768554688
B198,-10,zmin,6,6.0,1079.250244140625
B198,-10,zmin,7,7.0,1411.30322265625
B198,-10,zmin,8,8.0,1731.63818359375
B198,-10,zmin,9,9.0,3015.651611328125
B199,-10,zmin,1,1.0,316.5758972167969
B199,-10,zmin,2,2.0,911.6956787109375
B199,-10,zmin,3,3.0,1389.9736328125
B199,-10,zmin,4,4.0,1769.82080078125
B199,-10,zmin,5,5.0,2086.6845703125
B199,-10,zmin,6,6.0,2358.218017578125
B199,-10,zmin,7,7.0,2619.370361328125
B199,-10,zmin,8,8.0,2894.538818359375
B199,-10,zmin,9,9.0,3593.577880859375
B200,-10,zmin,1,1.0,0.0
B200,-10,zmin,2,2.0,0.0
B200,-10,zmin,3,3.0,0.0
B200,-10,zmin,4,4.0,350.4497375488281
B200,-10,zmin,5,5.0,758.5465698242188
B200,-10,zmin,6,6.0,1136.980712890625
B200,-10,zmin,7,7.0,1476.9854736328125
B200,-10,zmin,8,8.0,1818.35302734375
B200,-10,zmin,9,9.0,3072.381103515625
B201,-10,zmin,1,1.0,0.0
B201,-10,zmin,2,2.0,0.0
B201,-10,zmin,3,3.0,164.0886993408203
B201,-10,zmin,4,4.0,536.153564453125
B201,-10,zmin,5,5.0,855.7355346679688
B201,-10,zmin,6,6.0,1149.1453857421875
B201,-10,zmin,7,7.0,1424.6944580078125
B201,-10,zmin,8,8.0,1707.6856689453125
B201,-10,zmin,9,9.0,3004.86279296875
B202,-10,zmin,1,1.0,0.0
B202,-10,zmin,2,2.0,0.0
B202,-10,zmin,3,3.0,499.9997253417969
B202,-10,zmin,4,4.0,1080.73974609375
B202,-10,zmin,5,5.0,1624.6357421875
B202,-10,zmin,6,6.0,2123.241943359375
B202,-10,zmin,7,7.0,2570.444580078125
B202,-10,zmin,8,8.0,3061.275390625
B202,-10,zmin,9,9.0,3783.166015625
B203,-10,zmin,1,1.0,0.0
B203,-10,zmin,2,2.0,0.0
B203,-10,zmin,3,3.0,624.7301025390625
B203,-10,zmin,4,4.0,1213.0224609375
B203,-10,zmin,5,5.0,1768.9439697265625
B203,-10,zmin,6,6.0,2258.32080078125
B203,-10,zmin,7,7.0,2722.3232421875
B203,-10,zmin,8,8.0,3211.23046875
B203,-10,zmin,9,9.0,3858.8359375
B204,-10,zmin,1,1.0,0.0
B204,-10,zmin,2,2.0,0.0
B204,-10,zmin,3,3.0,519.0343627929688
B204,-10,zmin,4,4.0,1085.0889892578125
B204,-10,zmin,5,5.0,1639.656982421875
B204,-10,zmin,6,6.0,2135.351806640625
B204,-10,zmin,7,7.0,2611.83251953125
B204,-10,zmin,8,8.0,3099.54345703125
B204,-10,zmin,9,9.0,3815.948486328125
B205,-10,zmin,1,1.0,0.0
B205,-10,zmin,2,2.0,0.0
B205,-10,zmin,3,3.0,0.0
B205,-10,zmin,4,4.0,0.0
B205,-10,zmin,5,5.0,0.0
B205,-10,zmin,6,6.0,0.0
B205,-10,zmin,7,7.0,0.0
